Tanggal Transaksi,Nomor Pesanan,Nama Produk,Jumlah Stok
12/31/2022,1.02961E+15,Parfum Refill Victoria Romantic Wish 30-50ml Wanita Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02961E+15,Parfum Refill Victoria Romantic Wish 30-50ml Wanita Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02961E+15,Parfum Refill Victoria Romantic Wish 30-50ml Wanita Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02961E+15,Parfum Refill Victoria Romantic Wish 30-50ml Wanita Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02315E+15,Parfum Refill Soft 30-50ml Unisex Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02315E+15,Parfum Refill Soft 30-50ml Unisex Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02315E+15,Parfum Refill Soft 30-50ml Unisex Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02315E+15,Parfum Refill Soft 30-50ml Unisex Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.0325E+15,Parfum Refill Victoria Romantic Wish 30-50ml Wanita Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.0325E+15,Parfum Refill Victoria Romantic Wish 30-50ml Wanita Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.0325E+15,Parfum Refill Victoria Romantic Wish 30-50ml Wanita Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.0325E+15,Parfum Refill Victoria Romantic Wish 30-50ml Wanita Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02375E+15,Parfum Refill 212 Man 30-50ml Pria Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02375E+15,Parfum Refill 212 Man 30-50ml Pria Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02375E+15,Parfum Refill 212 Man 30-50ml Pria Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.02375E+15,Parfum Refill 212 Man 30-50ml Pria Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.03269E+15,Parfum Refill Bvlgari Aqua 30-50ml Unisex Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.03269E+15,Parfum Refill Bvlgari Aqua 30-50ml Unisex Non-Alkohol Minyak Wangi Tahan Lama COD,1
12/31/2022,1.03269E+15,Parfum Refill Bvlgari Aqua 30-50ml Unisex Non-Alkohol Minyak Wangi Tahan Lama COD,1
